Document,Chars,Segments,Normative,Informative,Unknown,Norm%,Hi-Conf Segs,Sem Profiles,Profile Conf%,Defined,Undefined,Def Cover%,Contradictions,Contra:Sem,Contra:Mod,Contra Conf%,Contra>=95%
99-0117.pdf,164771,3604,751,1313,1540,20.8,747,43,70.8,1,49,2.0,102,91,11,97.1,80
BIS-2024-0005-0160_content (1).pdf,505958,9362,1562,4033,3767,16.7,1908,15,70.9,0,50,0.0,83,77,6,97.3,68
Creative Commons guide_24_final (2).pdf,49763,706,119,350,237,16.9,166,7,70.8,4,46,8.0,13,11,2,96.4,8
Creative-Commons-Style-Guide-2019.pdf,19767,307,37,131,139,12.1,42,6,71.3,4,46,8.0,4,4,0,99.8,4
DHS-2024-0033-0001_content (1).pdf,184235,3557,453,1601,1503,12.7,642,0,0.0,0,50,0.0,19,19,0,98.4,17
LICENSE-2.0.txt,11560,88,21,58,9,23.9,23,0,0.0,2,48,4.0,6,3,3,94.1,2
NOAA-HQ-2023-0146-0033_attachment_9 (1).pdf,430919,3791,491,2077,1223,13.0,587,8,70.0,1,49,2.0,22,22,0,98.1,19
OMB-2021-0005-0454_attachment_4 (2).pdf,104408,1774,245,1062,467,13.8,318,5,70.4,0,50,0.0,43,43,0,98.3,38
Open_Content_-_A_Practical_Guide_to_Using_Creative_Commons_Licences.pdf,214170,2978,485,1451,1042,16.3,662,23,71.1,3,47,6.0,48,40,8,96.3,34
bagleykeene_meetingact.pdf,170570,2160,435,1216,509,20.1,615,19,70.8,2,48,4.0,224,165,59,95.8,147
cern_ohl_p_v2.txt,9051,92,22,52,18,23.9,18,2,71.0,1,49,2.0,25,6,19,91.5,4
fdl-1.3.txt,23406,198,35,136,27,17.7,63,5,71.1,2,48,4.0,7,7,0,97.5,6
fil21012b.pdf,35394,366,75,167,124,20.5,93,7,70.6,0,50,0.0,16,16,0,96.1,11
rfc1034.txt,129180,1344,168,719,457,12.5,261,21,70.8,1,49,2.0,26,23,3,97.0,20
rfc2460.txt,88077,903,114,527,262,12.6,169,10,70.5,0,50,0.0,83,47,36,93.6,37
rfc793.txt,177957,2106,364,808,934,17.3,383,30,70.6,0,50,0.0,65,62,3,98.1,58
rfc8446.txt,346699,3714,537,2070,1107,14.5,725,49,70.4,2,48,4.0,899,215,684,91.8,178
