Section,Type,Question,Option 1,Option 2,Option 3,Option 4,Option 5
Review Metadata,Short Answer,Reviewer ID,,,,,
Review Metadata,Date,Review Date,,,,,
Review Metadata,Short Answer,Document / Rulebook ID,,,,,
Review Metadata,Short Answer,Review Session ID,,,,,
Review Metadata,Short Answer,Clarus Flag ID,,,,,
Review Metadata,Multiple Choice,Issue Category,Undefined Term,Ambiguous Reference,Logical Inconsistency,Scope Ambiguity,Conflicting Instruction
Validity,Multiple Choice,Was the flagged issue a genuine clarity concern?,Yes,Partially,No,,
Validity,Linear Scale,Severity of the issue,1,2,3,4,5
Localization,Multiple Choice,Could you identify the referenced text span without additional guidance?,Yes immediately,Yes with minor effort,Difficult to locate,Could not locate,
Localization,Linear Scale,Localization accuracy rating,1,2,3,4,5
Explanation,Linear Scale,How understandable was the system explanation?,1,2,3,4,5
Explanation,Multiple Choice,Did the explanation help you understand why the issue was flagged?,Strongly Agree,Agree,Neutral,Disagree,Strongly Disagree
Reviewer Agreement,Multiple Choice,Reviewer classification of issue,Genuine clarity concern,False positive,Borderline / uncertain,,
Reviewer Agreement,Multiple Choice,Suggested correct annotation category,Undefined Term,Ambiguous Reference,Logical Inconsistency,Scope Ambiguity,Conflicting Instruction
Feedback,Paragraph,Reviewer notes on this flag,,,,,
