Section,Type,Question,Option 1,Option 2,Option 3,Option 4,Option 5
Session Metadata,Short Answer,Reviewer ID,,,,,
Session Metadata,Date,Review Date,,,,,
Session Metadata,Short Answer,Review Session ID,,,,,
Session Metadata,Short Answer,Document / Corpus Reviewed,,,,,
Workflow Impact,Multiple Choice,Did the tool reduce manual scanning effort?,Significantly,Moderately,Slightly,No impact,Increased effort
Workflow Impact,Multiple Choice,Estimated overall time saved,None,< 10 minutes,10–30 minutes,30–60 minutes,> 60 minutes
Workflow Impact,Linear Scale,Confidence in the tool’s findings,1,2,3,4,5
Workflow Impact,Multiple Choice,Would you use this system in a real review workflow?,Definitely,Probably,Unsure,Probably Not,Definitely Not
Feedback,Paragraph,What worked well?,,,,,
Feedback,Paragraph,What was confusing or unhelpful?,,,,,
Feedback,Paragraph,Suggested improvements,,,,,
