DOCUMENT STATISTICS
Filename,Open_Content_-_A_Practical_Guide_to_Using_Creative_Commons_Licences.pdf
Text Length (chars),214170
Analyzed At,2026-05-06T05:18:32.562720
Total Segments,2978
  Normative,485
  Informative,1451
  Unknown,1042
High Confidence Segments (≥0.7),662
Medium Confidence Segments,2316
Low Confidence Segments (<0.4),0

SEMANTIC EXTRACTION
Total Profiles,23
Average Profile Confidence,71.1%

TERMINOLOGY
Defined Terms,3
Undefined Terms,47
Definition Coverage,6.0%

CONTRADICTIONS
Total Detected,48

#,Type,Confidence,Statement A,Statement B
1,semantic,100.0%,must be understood as the author’s personal,"user, it must be deemed commercial.78"
2,semantic,100.0%,does not have to comply with licencing,have to be attached directly to the respec-
3,semantic,100.0%,"hTml-snippeTs enable
search engines to find
freely licenced content
on the internet.",content must be attributed.10 Where the
4,semantic,100.0%,"if they are subject to licence terms that require the
licensee at least to name the rights owner and/or to share",permitted by law. hence no licence is required for private
5,semantic,100.0%,"on the relevant national jurisdiction – do
not allow for the re-licencing or the trans-",explicitly mention that it will allow the
6,semantic,100.0%,keep their exclusive rights. In this scenar-,accomplish the transfer of rights from the
7,semantic,99.9%,ability that other licensers will share that opinion. Obvi-,negate the view of licensers and licensees. For most
8,semantic,99.9%,"if they are subject to licence terms that require the
licensee at least to name the rights owner and/or to share","such use. The effect is that the user does not have to meet
the licence obligations, e.g. they do not have to credit the"
9,semantic,99.9%,"grants a user the rights to copy, distribute
and make the work available without hav-",to any interested party) to use the work
10,semantic,99.9%,"or edit existing articles in the encyclopedia
keep their exclusive rights and licence them","publisher (if that
term is appropriate
for platform provid-
ers altogether) is
neither the central
rights owner nor the"
11,semantic,99.8%,"damages, losses or for
whatever other harm-",exclude all liability for damages and negli-
12,semantic,99.8%,"to use an NC licence do so because they do
not wish other people and organisations to
make money with their creative work with-
out an obligation to share potential profits.","least dare not (because of legal uncertainty)
make use of the work not even for purposes"
13,semantic,99.7%,"the general public. In
fact, authors and users
benefit from the increas-
ing number of interesting",not create incentives for authors to open
14,semantic,99.7%,"to distribute, make publicly available and
reproduce a work for non-commercial",Content work shall remain open in all its
15,semantic,99.6%,"licencing chain.20 In this
context, it is inevitable","on the relevant national jurisdiction – do
not allow for the re-licencing or the trans-"
16,semantic,99.5%,to freely share image files of low-resolution,to restrict the access to high-resolution
17,semantic,99.4%,The scope of the inbound licence must,"tion, the licence grant has to be unrestrict-"
18,semantic,99.4%,ally valid. There are currently no ports of,be valid to the full extent in all jurisdictions
19,semantic,99.4%,"user, it must be deemed commercial.78",not follow their own commercial inter-
20,semantic,99.4%,intended to ensure that in the case of man-,states that TPM protection shall not be
21,semantic,99.1%,"b) liCenCe COnClusiOn AnD
eFFeCTiveness OF liCenCe",require a licence do not trigger the licence
22,semantic,99.1%,comply with only one of two or more con-,are incompatible with each other; resulting
23,semantic,98.9%,right the user does not have to abide by the,"License does not, and shall not be inter-"
24,semantic,98.9%,not contain an explanation of the term.,interpret the central term public on the
25,semantic,98.6%,versions must be shared under CC BY-SA,"modifications, the adapter’s licence 5 must"
26,semantic,98.6%,"apply for uses that are permitted by law. hence, the",prevent that possessors of high-resolution copies to share
27,semantic,98.3%,to know that the licence applies to the work,"Content licence
applies to the content"
28,semantic,98.3%,"under the initial
licence. Without a legal
solution offered by the
licence, the adapter","all licence types, will be discussed here."
29,semantic,98.0%,"Content licence
applies to the content",not comply with the licence obligations are
30,semantic,97.2%,choose a restrictive licence (e.g. a non-com-,share it under the terms of the CC licence
31,semantic,97.0%,The obligation to implement a copyright,The obligation to refer to the licence and to
32,semantic,96.7%,•	 The term commercial has to be under-,"user, it must be deemed commercial.78"
33,semantic,96.1%,How to best practically attach a CC licence,"does not know the terms of the licence,"
34,semantic,95.9%,"prevent a commercial exploiter from having
to negotiate individual terms.",(CC BY-SA). To arrange a commercial (i.e.
35,semantic,94.7%,regimes will consider the fact that Open,states that TPM protection shall not be
36,semantic,94.0%,•	 The term commercial has to be under-,not follow their own commercial inter-
37,semantic,90.5%,"use on a website that displays ads
to recover hosting costs","platform provider (not the
content provider) displays ads"
38,modality,90.0%,to receive attribution must be named in,5. The licensee must not create the impres-
39,modality,90.0%,original source must be retained.,5. The licensee must not create the impres-
40,modality,90.0%,versions must be shared under CC BY-SA,3.  The use of the modified version must not
41,modality,90.0%,"modifications, the adapter’s licence 5 must",3.  The use of the modified version must not
42,modality,90.0%,1.  The adapter’s licence must either be the,3.  The use of the modified version must not
43,modality,90.0%,ence to the adapter’s licence must be,3.  The use of the modified version must not
44,modality,90.0%,"legal code, the attribution obligation must",material must not be
45,modality,90.0%,material must not be,"to share.” If the adapter’s version is shared
publicly, however, it must be licenced under"
46,semantic,88.3%,"or edit existing articles in the encyclopedia
keep their exclusive rights and licence them",licence them by using the Open Content
47,semantic,86.3%,provide a notice referring to the licence,"the licence is rein-
stated automatically
if the infringing licen-"
48,semantic,84.3%,strategy will not help to differentiate between copies of,prevent that possessors of high-resolution copies to share
