DOCUMENT STATISTICS
Filename,fdl-1.3.txt
Text Length (chars),23406
Analyzed At,2026-05-06T04:27:06.793338
Total Segments,198
  Normative,35
  Informative,136
  Unknown,27
High Confidence Segments (≥0.7),63
Medium Confidence Segments,135
Low Confidence Segments (<0.4),0

SEMANTIC EXTRACTION
Total Profiles,5
Average Profile Confidence,71.1%

TERMINOLOGY
Defined Terms,1
Undefined Terms,49
Definition Coverage,2.0%

CONTRADICTIONS
Total Detected,8

#,Type,Confidence,Statement A,Statement B
1,semantic,100.0%,If the Document specifies that a particular numbered version of this,Free Software Foundation.  If the Document does not specify a version
2,semantic,100.0%,"otherwise to copy, modify, sublicense, or distribute it is void, and
will automatically terminate your rights under this License.",not give you any rights to use it.
3,semantic,99.7%,E. Add an appropriate copyright notice for your modifications,list them all as Invariant Sections of your combined work in its
4,semantic,99.6%,"The combined work need only contain one copy of this License, and","distribute it individually under this License, provided you insert a"
5,semantic,98.8%,following the terms and conditions either of that specified version or,Free Software Foundation.  If the Document does not specify a version
6,semantic,97.5%,this License requires to appear in the title page.  For works in,"""Dedications"", ""Endorsements"", or ""History"".)  To ""Preserve the Title"""
7,semantic,96.8%,"assure everyone the effective freedom to copy and redistribute it,","copy, modify or distribute the work in a way requiring permission"
8,semantic,91.4%,Free Software Foundation.  If the Document does not specify a version,to permit their use in free software.
