DOCUMENT STATISTICS
Filename,rfc8446.txt
Text Length (chars),346699
Analyzed At,2026-05-08T23:34:20.731158
Total Segments,3714
  Normative,537
  Informative,2070
  Unknown,1107
High Confidence Segments (≥0.7),725
Medium Confidence Segments,2989
Low Confidence Segments (<0.4),0

SEMANTIC EXTRACTION
Total Profiles,49
Average Profile Confidence,70.4%

TERMINOLOGY
Defined Terms,2
Undefined Terms,48
Definition Coverage,4.0%

CONTRADICTIONS
Total Detected,899

#,Type,Confidence,Statement A,Statement B
1,semantic,100.0%,MUST send these messages in alignment with a record boundary.,field is deprecated and MUST be ignored for all purposes.
2,semantic,100.0%,"0x0303 (TLS 1.2).  Clients MUST check for this extension prior to
processing the rest of the ServerHello (although they will have to","state, this will appear as if it were the first message to be
received.  Servers operating statelessly MUST ignore these records."
3,semantic,100.0%,to determine the CSPRNG internal state and thereby predict the keying,support a compatible (EC)DHE group but do not predict it in the
4,semantic,100.0%,"this field MUST be non-empty, so a client not offering a
pre-TLS 1.3 session MUST generate a new 32-byte value.  This value","does not recognize, support, or wish to use, the server MUST
ignore those cipher suites and process the remaining ones as"
5,semantic,100.0%,messages for a given response MUST appear consecutively on the wire,"receives any other value, it MUST terminate the connection with an"
6,semantic,100.0%,A server which negotiates a version of TLS prior to TLS 1.3 MUST set,"state, this will appear as if it were the first message to be
received.  Servers operating statelessly MUST ignore these records."
7,semantic,100.0%,"this field MUST be non-empty, so a client not offering a
pre-TLS 1.3 session MUST generate a new 32-byte value.  This value","MUST contain exactly one byte, set to zero, which corresponds to"
8,semantic,100.0%,The receiver of a CertificateVerify message MUST verify the signature,the client MUST send an EndOfEarlyData message after receiving the
9,semantic,100.0%,response to a ClientHello MUST set the last 8 bytes of their Random,"process the extensions, starting with determining the version using
""supported_versions"".  Clients MUST abort the handshake with an"
10,semantic,100.0%,The client MUST send a Certificate message if and only if the server,field having length 0).  A Finished message MUST be sent regardless
11,semantic,100.0%,"is expected that TLS implementations will rely on their PKI libraries
to perform certificate selection using certificate extension OIDs.",extension to the client.  Clients MUST NOT act upon any information
12,semantic,100.0%,support TLS 1.3 will send a normal TLS 1.3 ClientHello containing,"not support TLS 1.3, it will respond with a ServerHello containing an"
13,semantic,100.0%,"MUST be specified, and other extensions may optionally be included",field having length 0).  A Finished message MUST be sent regardless
14,semantic,100.0%,alert has been received MUST be ignored.  If a transport-level close,"receipt of a fatal alert message, both parties MUST immediately close"
15,semantic,100.0%,"of [RFC6066]), with the server being required to enforce that the SNI
value associated with the session matches the one specified in the","value is not present or does not validate, the server MUST abort the"
16,semantic,100.0%,"Upon receipt of a HelloRetryRequest, the client MUST check the","process the extensions, starting with determining the version using
""supported_versions"".  Clients MUST abort the handshake with an"
17,semantic,100.0%,guarantee that the 0-RTT data is accepted at most once.  Servers,assumption that the server will not verify it (as recommended by
18,semantic,100.0%,"0x0303 (TLS 1.2).  Clients MUST check for this extension prior to
processing the rest of the ServerHello (although they will have to","parse the ServerHello in order to read the extension).  If this
extension is present, clients MUST ignore the"
19,semantic,100.0%,"-  The certificate MUST allow the key to be used for signing (i.e.,
the digitalSignature bit MUST be set if the Key Usage extension is",validate using any signature algorithm using an MD5 hash MUST abort
20,semantic,100.0%,-  The certificates MUST be signed using an acceptable signature,validate using any signature algorithm using an MD5 hash MUST abort
21,semantic,100.0%,"MUST verify that all messages immediately preceding a key change
align with a record boundary; if not, then they MUST terminate the",field is deprecated and MUST be ignored for all purposes.
22,semantic,100.0%,The server MUST send a Certificate message whenever the agreed-upon,The client MUST send a Certificate message if and only if the server
23,semantic,100.0%,"versions of TLS SHOULD support TLS 1.2.  Servers MUST be prepared to
receive ClientHellos that include this extension but do not include","state, this will appear as if it were the first message to be
received.  Servers operating statelessly MUST ignore these records."
24,semantic,100.0%,"ClientHello).  When sending the new ClientHello, the client MUST copy","state, this will appear as if it were the first message to be
received.  Servers operating statelessly MUST ignore these records."
25,semantic,100.0%,Any ticket MUST only be resumed with a cipher suite that has the same,transmitted by the client.  The server MUST generate a fresh value
26,semantic,100.0%,The receiver of a CertificateVerify message MUST verify the signature,Any ticket MUST only be resumed with a cipher suite that has the same
27,semantic,100.0%,encoded vector must be an exact multiple of the length of a single,handshake message in an unexpected order MUST abort the handshake
28,semantic,100.0%,"TLS 1.3 and receives a ClientHello at any other time, it MUST
terminate the connection with an ""unexpected_message"" alert.","does not recognize, support, or wish to use, the server MUST
ignore those cipher suites and process the remaining ones as"
29,semantic,99.9%,"If the server selects a PSK, then it MUST also select a key",If the server successfully selects parameters and does not require a
30,semantic,99.9%,"suitable certificate is available, the client MUST send a Certificate",field having length 0).  A Finished message MUST be sent regardless
31,semantic,99.9%,All certificates provided by the server MUST be signed by a signature,validate using any signature algorithm using an MD5 hash MUST abort
